i,min_chunk_size,speech_threshold,timer_type,timer_value
1,8,0.6,VADFilterTime,144
1,8,0.6,frontendToBackendSendTime,14.523681640625
1,8,0.6,backendToFrontendSendTime,2.476318359375
1,8,0.6,chunkRoundTripTime,17
1,8,0.6,chunkProcessTime,1435.1000000089407
1,8,0.6,frontendToBackendSendTime,21.515625
1,8,0.6,backendToFrontendSendTime,4.484375
1,8,0.6,chunkRoundTripTime,26
1,8,0.6,chunkProcessTime,759
1,8,0.6,frontendToBackendSendTime,18.33349609375
1,8,0.6,backendToFrontendSendTime,0.66650390625
1,8,0.6,chunkRoundTripTime,19
1,8,0.6,chunkProcessTime,755.2000000029802
1,8,0.6,frontendToBackendSendTime,13.302978515625
1,8,0.6,backendToFrontendSendTime,2.697021484375
1,8,0.6,chunkRoundTripTime,16
1,8,0.6,chunkProcessTime,767.3000000119209
1,8,0.6,frontendToBackendSendTime,14.471923828125
1,8,0.6,backendToFrontendSendTime,4.528076171875
1,8,0.6,chunkRoundTripTime,19
1,8,0.6,chunkProcessTime,763.2000000029802
1,8,0.6,frontendToBackendSendTime,16.669189453125
1,8,0.6,backendToFrontendSendTime,0.330810546875
1,8,0.6,chunkRoundTripTime,17
1,8,0.6,chunkProcessTime,767.4000000059605
1,8,0.6,frontendToBackendSendTime,14.505859375
1,8,0.6,backendToFrontendSendTime,0.494140625
1,8,0.6,chunkRoundTripTime,15
1,8,0.6,chunkProcessTime,764.7000000029802
1,8,0.6,frontendToBackendSendTime,19.252197265625
1,8,0.6,backendToFrontendSendTime,0.747802734375
1,8,0.6,chunkRoundTripTime,20
1,8,0.6,chunkProcessTime,1236.5999999940395
1,8,0.6,frontendToBackendSendTime,26.6875
1,8,0.6,backendToFrontendSendTime,3.3125
1,8,0.6,chunkRoundTripTime,30
1,8,0.6,chunkProcessTime,763.5999999940395
1,8,0.6,frontendToBackendSendTime,13.197265625
1,8,0.6,backendToFrontendSendTime,3.802734375
1,8,0.6,chunkRoundTripTime,17
1,8,0.6,chunkProcessTime,1346
1,8,0.6,frontendToBackendSendTime,21.58056640625
1,8,0.6,backendToFrontendSendTime,5.41943359375
1,8,0.6,chunkRoundTripTime,27
1,8,0.6,chunkProcessTime,754.4000000059605
1,8,0.6,frontendToBackendSendTime,28.3525390625
1,8,0.6,backendToFrontendSendTime,1.6474609375
1,8,0.6,chunkRoundTripTime,30
1,8,0.6,chunkProcessTime,758.0999999940395
1,8,0.6,frontendToBackendSendTime,14.36083984375
1,8,0.6,backendToFrontendSendTime,3.63916015625
1,8,0.6,chunkRoundTripTime,18
1,8,0.6,chunkProcessTime,760.5
1,8,0.6,frontendToBackendSendTime,16.563232421875
1,8,0.6,backendToFrontendSendTime,5.436767578125
1,8,0.6,chunkRoundTripTime,22
1,8,0.6,chunkProcessTime,764.7999999970198
1,8,0.6,frontendToBackendSendTime,22.27001953125
1,8,0.6,backendToFrontendSendTime,0.72998046875
1,8,0.6,chunkRoundTripTime,23
1,8,0.6,chunkProcessTime,766.5999999940395
1,8,0.6,frontendToBackendSendTime,7.68994140625
1,8,0.6,backendToFrontendSendTime,9.31005859375
1,8,0.6,chunkRoundTripTime,17
1,8,0.6,chunkProcessTime,756.0999999940395
1,8,0.6,frontendToBackendSendTime,25.83203125
1,8,0.6,backendToFrontendSendTime,1.16796875
1,8,0.6,chunkRoundTripTime,27
1,8,0.6,chunkProcessTime,763.2000000029802
1,8,0.6,frontendToBackendSendTime,25.448974609375
1,8,0.6,backendToFrontendSendTime,1.551025390625
1,8,0.6,chunkRoundTripTime,27
1,8,0.6,chunkProcessTime,762.3999999910593
1,8,0.6,frontendToBackendSendTime,15.68994140625
1,8,0.6,backendToFrontendSendTime,1.31005859375
1,8,0.6,chunkRoundTripTime,17
1,8,0.6,chunkProcessTime,764.7999999970198
1,8,0.6,frontendToBackendSendTime,206.433837890625
1,8,0.6,backendToFrontendSendTime,0.566162109375
1,8,0.6,chunkRoundTripTime,207
1,8,0.6,frontendToBackendSendTime,6.542724609375
1,8,0.6,backendToFrontendSendTime,7.457275390625
1,8,0.6,chunkRoundTripTime,14
1,8,0.6,chunkProcessTime,2485.7999999970198
1,8,0.6,frontendToBackendSendTime,16.431640625
1,8,0.6,backendToFrontendSendTime,6.568359375
1,8,0.6,chunkRoundTripTime,23
1,8,0.6,chunkProcessTime,762.4000000059605
1,8,0.6,frontendToBackendSendTime,15.572509765625
1,8,0.6,backendToFrontendSendTime,3.427490234375
1,8,0.6,chunkRoundTripTime,19
1,8,0.6,chunkProcessTime,763.8000000119209
1,8,0.6,frontendToBackendSendTime,10.78125
1,8,0.6,backendToFrontendSendTime,5.21875
1,8,0.6,chunkRoundTripTime,16
1,8,0.6,chunkProcessTime,766.1000000089407
1,8,0.6,frontendToBackendSendTime,19.23291015625
1,8,0.6,backendToFrontendSendTime,1.76708984375
1,8,0.6,chunkRoundTripTime,21
1,8,0.6,chunkProcessTime,767.6999999880791
1,8,0.6,frontendToBackendSendTime,23.2822265625
1,8,0.6,backendToFrontendSendTime,1.7177734375
1,8,0.6,chunkRoundTripTime,25
1,8,0.6,chunkProcessTime,751.5
1,8,0.6,frontendToBackendSendTime,17.822021484375
1,8,0.6,backendToFrontendSendTime,2.177978515625
1,8,0.6,chunkRoundTripTime,20
1,8,0.6,chunkProcessTime,765.5999999940395
1,8,0.6,frontendToBackendSendTime,24.926513671875
1,8,0.6,backendToFrontendSendTime,1.073486328125
1,8,0.6,chunkRoundTripTime,26
1,8,0.6,chunkProcessTime,766.1999999880791
1,8,0.6,frontendToBackendSendTime,24.426513671875
1,8,0.6,backendToFrontendSendTime,2.573486328125
1,8,0.6,chunkRoundTripTime,27
1,8,0.6,chunkProcessTime,1050.7999999970198
1,8,0.6,frontendToBackendSendTime,42.253173828125
1,8,0.6,backendToFrontendSendTime,1.746826171875
1,8,0.6,chunkRoundTripTime,44
1,8,0.6,chunkProcessTime,752.8000000119209
1,8,0.6,frontendToBackendSendTime,15.7724609375
1,8,0.6,backendToFrontendSendTime,5.2275390625
1,8,0.6,chunkRoundTripTime,21
1,8,0.6,chunkProcessTime,765.7000000029802
1,8,0.6,frontendToBackendSendTime,24.759765625
1,8,0.6,backendToFrontendSendTime,5.240234375
1,8,0.6,chunkRoundTripTime,30
1,8,0.6,chunkProcessTime,761.8999999910593
1,8,0.6,frontendToBackendSendTime,20.48583984375
1,8,0.6,backendToFrontendSendTime,2.51416015625
1,8,0.6,chunkRoundTripTime,23
1,8,0.6,chunkProcessTime,765.3999999910593
1,8,0.6,frontendToBackendSendTime,26.77587890625
1,8,0.6,backendToFrontendSendTime,2.22412109375
1,8,0.6,chunkRoundTripTime,29
1,8,0.6,chunkProcessTime,1242.1000000089407
1,8,0.6,frontendToBackendSendTime,6.65966796875
1,8,0.6,backendToFrontendSendTime,7.34033203125
1,8,0.6,chunkRoundTripTime,14
1,8,0.6,chunkProcessTime,755.5
1,8,0.6,frontendToBackendSendTime,16.4775390625
1,8,0.6,backendToFrontendSendTime,5.5224609375
1,8,0.6,chunkRoundTripTime,22
1,8,0.6,chunkProcessTime,762.3999999910593
1,8,0.6,frontendToBackendSendTime,18.4033203125
1,8,0.6,backendToFrontendSendTime,4.5966796875
1,8,0.6,chunkRoundTripTime,23
1,8,0.6,chunkProcessTime,764.2000000029802
1,8,0.6,frontendToBackendSendTime,11.113525390625
1,8,0.6,backendToFrontendSendTime,5.886474609375
1,8,0.6,chunkRoundTripTime,17
1,8,0.6,chunkProcessTime,768.0999999940395
1,8,0.6,frontendToBackendSendTime,71.288330078125
1,8,0.6,backendToFrontendSendTime,1.711669921875
1,8,0.6,chunkRoundTripTime,73
1,8,0.6,chunkProcessTime,759.7999999970198
1,8,0.6,frontendToBackendSendTime,22.134033203125
1,8,0.6,backendToFrontendSendTime,-0.134033203125
1,8,0.6,chunkRoundTripTime,22
1,8,0.6,chunkProcessTime,757.2000000029802
1,8,0.6,frontendToBackendSendTime,18.67138671875
1,8,0.6,backendToFrontendSendTime,2.32861328125
1,8,0.6,chunkRoundTripTime,21
1,8,0.6,chunkProcessTime,759.5999999940395
1,8,0.6,frontendToBackendSendTime,13.73681640625
1,8,0.6,backendToFrontendSendTime,3.26318359375
1,8,0.6,chunkRoundTripTime,17
1,8,0.6,chunkProcessTime,768.2999999970198
1,8,0.6,frontendToBackendSendTime,25.977783203125
1,8,0.6,backendToFrontendSendTime,6.022216796875
1,8,0.6,chunkRoundTripTime,32
1,8,0.6,chunkProcessTime,762.1000000089407
1,8,0.6,frontendToBackendSendTime,25.49658203125
1,8,0.6,backendToFrontendSendTime,3.50341796875
1,8,0.6,chunkRoundTripTime,29
1,8,0.6,chunkProcessTime,1140.5
1,8,0.6,frontendToBackendSendTime,27.6396484375
1,8,0.6,backendToFrontendSendTime,-0.6396484375
1,8,0.6,chunkRoundTripTime,27
1,8,0.6,chunkProcessTime,762.5
1,8,0.6,frontendToBackendSendTime,40.47705078125
1,8,0.6,backendToFrontendSendTime,3.52294921875
1,8,0.6,chunkRoundTripTime,44
1,8,0.6,chunkProcessTime,743.8999999910593
1,8,0.6,frontendToBackendSendTime,17.968017578125
1,8,0.6,backendToFrontendSendTime,3.031982421875
1,8,0.6,chunkRoundTripTime,21
1,8,0.6,chunkProcessTime,952.4000000059605
1,8,0.6,frontendToBackendSendTime,19.627197265625
1,8,0.6,backendToFrontendSendTime,-0.627197265625
1,8,0.6,chunkRoundTripTime,19
1,8,0.6,chunkProcessTime,766.6999999880791
1,8,0.6,frontendToBackendSendTime,23.318359375
1,8,0.6,backendToFrontendSendTime,-0.318359375
1,8,0.6,chunkRoundTripTime,23
1,8,0.6,chunkProcessTime,785.3000000119209
1,8,0.6,frontendToBackendSendTime,16.661376953125
1,8,0.6,backendToFrontendSendTime,6.338623046875
1,8,0.6,chunkRoundTripTime,23
1,8,0.6,chunkProcessTime,754.0999999940395
1,8,0.6,frontendToBackendSendTime,21.63330078125
1,8,0.6,backendToFrontendSendTime,0.36669921875
1,8,0.6,chunkRoundTripTime,22
1,8,0.6,chunkProcessTime,813.7000000029802
1,8,0.6,frontendToBackendSendTime,17.83935546875
1,8,0.6,backendToFrontendSendTime,2.16064453125
1,8,0.6,chunkRoundTripTime,20
1,8,0.6,chunkProcessTime,765.2999999970198
1,8,0.6,frontendToBackendSendTime,24.074951171875
1,8,0.6,backendToFrontendSendTime,-1.074951171875
1,8,0.6,chunkRoundTripTime,23
1,8,0.6,chunkProcessTime,801
1,8,0.6,frontendToBackendSendTime,19.708740234375
1,8,0.6,backendToFrontendSendTime,1.291259765625
1,8,0.6,chunkRoundTripTime,21
1,8,0.6,chunkProcessTime,1643.5999999940395
1,8,0.6,frontendToBackendSendTime,32.69140625
1,8,0.6,backendToFrontendSendTime,2.30859375
1,8,0.6,chunkRoundTripTime,35
1,8,0.6,chunkProcessTime,749.8999999910593
1,8,0.6,frontendToBackendSendTime,44.684814453125
1,8,0.6,backendToFrontendSendTime,1.315185546875
1,8,0.6,chunkRoundTripTime,46
1,8,0.6,chunkProcessTime,754.2999999970198
1,8,0.6,frontendToBackendSendTime,21.1484375
1,8,0.6,backendToFrontendSendTime,2.8515625
1,8,0.6,chunkRoundTripTime,24
1,8,0.6,chunkProcessTime,796.7999999970198
1,8,0.6,frontendToBackendSendTime,15.843017578125
1,8,0.6,backendToFrontendSendTime,3.156982421875
1,8,0.6,chunkRoundTripTime,19
1,8,0.6,chunkProcessTime,765.7000000029802
1,8,0.6,frontendToBackendSendTime,37.66064453125
1,8,0.6,backendToFrontendSendTime,4.33935546875
1,8,0.6,chunkRoundTripTime,42
1,8,0.6,chunkProcessTime,783.2000000029802
1,8,0.6,frontendToBackendSendTime,50.345458984375
1,8,0.6,backendToFrontendSendTime,1.654541015625
1,8,0.6,chunkRoundTripTime,52
1,8,0.6,chunkProcessTime,774.2999999970198
1,8,0.6,frontendToBackendSendTime,17.16845703125
1,8,0.6,backendToFrontendSendTime,4.83154296875
1,8,0.6,chunkRoundTripTime,22
1,8,0.6,chunkProcessTime,942.9000000059605
1,8,0.6,frontendToBackendSendTime,39.71044921875
1,8,0.6,backendToFrontendSendTime,-0.71044921875
1,8,0.6,chunkRoundTripTime,39
1,8,0.6,chunkProcessTime,757.2999999970198
1,8,0.6,frontendToBackendSendTime,17.59619140625
1,8,0.6,backendToFrontendSendTime,2.40380859375
1,8,0.6,chunkRoundTripTime,20
1,8,0.6,chunkProcessTime,867.2999999970198
1,8,0.6,frontendToBackendSendTime,18.560791015625
1,8,0.6,backendToFrontendSendTime,1.439208984375
1,8,0.6,chunkRoundTripTime,20
1,8,0.6,chunkProcessTime,1229.2000000029802
1,8,0.6,frontendToBackendSendTime,17.29248046875
1,8,0.6,backendToFrontendSendTime,-0.29248046875
1,8,0.6,chunkRoundTripTime,17
1,8,0.6,chunkProcessTime,768.4000000059605
1,8,0.6,frontendToBackendSendTime,23.9345703125
1,8,0.6,backendToFrontendSendTime,-0.9345703125
1,8,0.6,chunkRoundTripTime,23
1,8,0.6,chunkProcessTime,764.2000000029802
1,8,0.6,frontendToBackendSendTime,22.739013671875
1,8,0.6,backendToFrontendSendTime,-0.739013671875
1,8,0.6,chunkRoundTripTime,22
1,8,0.6,chunkProcessTime,768.2999999970198
1,8,0.6,frontendToBackendSendTime,21.38330078125
1,8,0.6,backendToFrontendSendTime,-0.38330078125
1,8,0.6,chunkRoundTripTime,21
1,8,0.6,chunkProcessTime,765.2999999970198
1,8,0.6,frontendToBackendSendTime,25.7646484375
1,8,0.6,backendToFrontendSendTime,-0.7646484375
1,8,0.6,chunkRoundTripTime,25
1,8,0.6,chunkProcessTime,753.2999999970198
1,8,0.6,frontendToBackendSendTime,23.031982421875
1,8,0.6,backendToFrontendSendTime,-0.031982421875
1,8,0.6,chunkRoundTripTime,23
1,8,0.6,chunkProcessTime,758.9000000059605
1,8,0.6,frontendToBackendSendTime,18.520263671875
1,8,0.6,backendToFrontendSendTime,1.479736328125
1,8,0.6,chunkRoundTripTime,20
1,8,0.6,chunkProcessTime,953.5999999940395
1,8,0.6,frontendToBackendSendTime,26.72607421875
1,8,0.6,backendToFrontendSendTime,1.27392578125
1,8,0.6,chunkRoundTripTime,28
1,8,0.6,chunkProcessTime,762.1000000089407
1,8,0.6,frontendToBackendSendTime,17.660400390625
1,8,0.6,backendToFrontendSendTime,0.339599609375
1,8,0.6,chunkRoundTripTime,18
2,8,0.6,VADFilterTime,102.79999999701977
2,8,0.6,frontendToBackendSendTime,16.53271484375
2,8,0.6,backendToFrontendSendTime,5.46728515625
2,8,0.6,chunkRoundTripTime,22
2,8,0.6,chunkProcessTime,1431.2999999970198
2,8,0.6,frontendToBackendSendTime,18.624267578125
2,8,0.6,backendToFrontendSendTime,3.375732421875
2,8,0.6,chunkRoundTripTime,22
2,8,0.6,chunkProcessTime,755.5999999940395
2,8,0.6,frontendToBackendSendTime,19.88916015625
2,8,0.6,backendToFrontendSendTime,4.11083984375
2,8,0.6,chunkRoundTripTime,24
2,8,0.6,chunkProcessTime,764.2000000029802
2,8,0.6,frontendToBackendSendTime,9.34326171875
2,8,0.6,backendToFrontendSendTime,6.65673828125
2,8,0.6,chunkRoundTripTime,16
2,8,0.6,chunkProcessTime,766.7000000029802
2,8,0.6,frontendToBackendSendTime,18.351806640625
2,8,0.6,backendToFrontendSendTime,5.648193359375
2,8,0.6,chunkRoundTripTime,24
2,8,0.6,chunkProcessTime,764.4000000059605
2,8,0.6,frontendToBackendSendTime,18.147216796875
2,8,0.6,backendToFrontendSendTime,0.852783203125
2,8,0.6,chunkRoundTripTime,19
2,8,0.6,chunkProcessTime,765.8999999910593
2,8,0.6,frontendToBackendSendTime,17.548583984375
2,8,0.6,backendToFrontendSendTime,3.451416015625
2,8,0.6,chunkRoundTripTime,21
2,8,0.6,chunkProcessTime,754.5
2,8,0.6,frontendToBackendSendTime,16.47216796875
2,8,0.6,backendToFrontendSendTime,-0.47216796875
2,8,0.6,chunkRoundTripTime,16
2,8,0.6,chunkProcessTime,1244.4000000059605
2,8,0.6,frontendToBackendSendTime,19.25390625
2,8,0.6,backendToFrontendSendTime,-0.25390625
2,8,0.6,chunkRoundTripTime,19
2,8,0.6,chunkProcessTime,866.7999999970198
2,8,0.6,frontendToBackendSendTime,18.309326171875
2,8,0.6,backendToFrontendSendTime,-0.309326171875
2,8,0.6,chunkRoundTripTime,18
2,8,0.6,chunkProcessTime,1335.7999999970198
2,8,0.6,frontendToBackendSendTime,25.654541015625
2,8,0.6,backendToFrontendSendTime,0.345458984375
2,8,0.6,chunkRoundTripTime,26
2,8,0.6,chunkProcessTime,763.5999999940395
2,8,0.6,frontendToBackendSendTime,18.459228515625
2,8,0.6,backendToFrontendSendTime,0.540771484375
2,8,0.6,chunkRoundTripTime,19
2,8,0.6,chunkProcessTime,766.5
2,8,0.6,frontendToBackendSendTime,24.65771484375
2,8,0.6,backendToFrontendSendTime,-0.65771484375
2,8,0.6,chunkRoundTripTime,24
2,8,0.6,chunkProcessTime,753.8000000119209
2,8,0.6,frontendToBackendSendTime,25.49072265625
2,8,0.6,backendToFrontendSendTime,-0.49072265625
2,8,0.6,chunkRoundTripTime,25
2,8,0.6,chunkProcessTime,761.2000000029802
2,8,0.6,frontendToBackendSendTime,29.3544921875
2,8,0.6,backendToFrontendSendTime,-0.3544921875
2,8,0.6,chunkRoundTripTime,29
2,8,0.6,chunkProcessTime,762.4000000059605
2,8,0.6,frontendToBackendSendTime,20.71728515625
2,8,0.6,backendToFrontendSendTime,-0.71728515625
2,8,0.6,chunkRoundTripTime,20
2,8,0.6,chunkProcessTime,765.2000000029802
2,8,0.6,frontendToBackendSendTime,14.727294921875
2,8,0.6,backendToFrontendSendTime,3.272705078125
2,8,0.6,chunkRoundTripTime,18
2,8,0.6,chunkProcessTime,767
2,8,0.6,frontendToBackendSendTime,18.40283203125
2,8,0.6,backendToFrontendSendTime,-0.40283203125
2,8,0.6,chunkRoundTripTime,18
2,8,0.6,chunkProcessTime,756.2999999970198
2,8,0.6,frontendToBackendSendTime,19.494384765625
2,8,0.6,backendToFrontendSendTime,-0.494384765625
2,8,0.6,chunkRoundTripTime,19
2,8,0.6,chunkProcessTime,768
2,8,0.6,frontendToBackendSendTime,23.2236328125
2,8,0.6,backendToFrontendSendTime,0.7763671875
2,8,0.6,chunkRoundTripTime,24
2,8,0.6,frontendToBackendSendTime,15.645263671875
2,8,0.6,backendToFrontendSendTime,-0.645263671875
2,8,0.6,chunkRoundTripTime,15
2,8,0.6,chunkProcessTime,2393.2000000029802
2,8,0.6,frontendToBackendSendTime,18.720947265625
2,8,0.6,backendToFrontendSendTime,1.279052734375
2,8,0.6,chunkRoundTripTime,20
2,8,0.6,chunkProcessTime,764.0999999940395
2,8,0.6,frontendToBackendSendTime,21.852783203125
2,8,0.6,backendToFrontendSendTime,0.147216796875
2,8,0.6,chunkRoundTripTime,22
2,8,0.6,chunkProcessTime,764.5999999940395
2,8,0.6,frontendToBackendSendTime,12.806640625
2,8,0.6,backendToFrontendSendTime,3.193359375
2,8,0.6,chunkRoundTripTime,16
2,8,0.6,chunkProcessTime,767.3999999910593
2,8,0.6,frontendToBackendSendTime,17.31787109375
2,8,0.6,backendToFrontendSendTime,8.68212890625
2,8,0.6,chunkRoundTripTime,26
2,8,0.6,chunkProcessTime,752.2000000029802
2,8,0.6,frontendToBackendSendTime,12.4833984375
2,8,0.6,backendToFrontendSendTime,2.5166015625
2,8,0.6,chunkRoundTripTime,15
2,8,0.6,chunkProcessTime,766.7999999970198
2,8,0.6,frontendToBackendSendTime,18.4921875
2,8,0.6,backendToFrontendSendTime,0.5078125
2,8,0.6,chunkRoundTripTime,19
2,8,0.6,chunkProcessTime,766.2000000029802
2,8,0.6,frontendToBackendSendTime,26.76318359375
2,8,0.6,backendToFrontendSendTime,0.23681640625
2,8,0.6,chunkRoundTripTime,27
2,8,0.6,chunkProcessTime,761.0999999940395
2,8,0.6,frontendToBackendSendTime,8.294921875
2,8,0.6,backendToFrontendSendTime,8.705078125
2,8,0.6,chunkRoundTripTime,17
2,8,0.6,chunkProcessTime,1048.0999999940395
2,8,0.6,frontendToBackendSendTime,15.30859375
2,8,0.6,backendToFrontendSendTime,7.69140625
2,8,0.6,chunkRoundTripTime,23
2,8,0.6,chunkProcessTime,763.3999999910593
2,8,0.6,frontendToBackendSendTime,17.3115234375
2,8,0.6,backendToFrontendSendTime,1.6884765625
2,8,0.6,chunkRoundTripTime,19
2,8,0.6,chunkProcessTime,766
2,8,0.6,frontendToBackendSendTime,26.45654296875
2,8,0.6,backendToFrontendSendTime,3.54345703125
2,8,0.6,chunkRoundTripTime,30
2,8,0.6,chunkProcessTime,761.5999999940395
2,8,0.6,frontendToBackendSendTime,24.656005859375
2,8,0.6,backendToFrontendSendTime,3.343994140625
2,8,0.6,chunkRoundTripTime,28
2,8,0.6,chunkProcessTime,759.5
2,8,0.6,frontendToBackendSendTime,17.508056640625
2,8,0.6,backendToFrontendSendTime,1.491943359375
2,8,0.6,chunkRoundTripTime,19
2,8,0.6,chunkProcessTime,1235.2999999970198
2,8,0.6,frontendToBackendSendTime,22.579833984375
2,8,0.6,backendToFrontendSendTime,0.420166015625
2,8,0.6,chunkRoundTripTime,23
2,8,0.6,chunkProcessTime,768.4000000059605
2,8,0.6,frontendToBackendSendTime,19.6787109375
2,8,0.6,backendToFrontendSendTime,0.3212890625
2,8,0.6,chunkRoundTripTime,20
2,8,0.6,chunkProcessTime,762.5
2,8,0.6,frontendToBackendSendTime,23.609375
2,8,0.6,backendToFrontendSendTime,0.390625
2,8,0.6,chunkRoundTripTime,24
2,8,0.6,chunkProcessTime,761.2999999970198
2,8,0.6,frontendToBackendSendTime,15.896240234375
2,8,0.6,backendToFrontendSendTime,0.103759765625
2,8,0.6,chunkRoundTripTime,16
2,8,0.6,chunkProcessTime,767.7999999970198
2,8,0.6,frontendToBackendSendTime,22.93896484375
2,8,0.6,backendToFrontendSendTime,1.06103515625
2,8,0.6,chunkRoundTripTime,24
2,8,0.6,chunkProcessTime,754.2999999970198
2,8,0.6,frontendToBackendSendTime,19.120849609375
2,8,0.6,backendToFrontendSendTime,0.879150390625
2,8,0.6,chunkRoundTripTime,20
2,8,0.6,chunkProcessTime,762.6000000089407
2,8,0.6,frontendToBackendSendTime,18.0546875
2,8,0.6,backendToFrontendSendTime,0.9453125
2,8,0.6,chunkRoundTripTime,19
2,8,0.6,chunkProcessTime,766
2,8,0.6,frontendToBackendSendTime,19.987548828125
2,8,0.6,backendToFrontendSendTime,1.012451171875
2,8,0.6,chunkRoundTripTime,21
2,8,0.6,chunkProcessTime,763.2999999970198
2,8,0.6,frontendToBackendSendTime,17.580322265625
2,8,0.6,backendToFrontendSendTime,0.419677734375
2,8,0.6,chunkRoundTripTime,18
2,8,0.6,chunkProcessTime,765.7999999970198
2,8,0.6,frontendToBackendSendTime,23.811279296875
2,8,0.6,backendToFrontendSendTime,0.188720703125
2,8,0.6,chunkRoundTripTime,24
2,8,0.6,chunkProcessTime,1143.7999999970198
2,8,0.6,frontendToBackendSendTime,23.981689453125
2,8,0.6,backendToFrontendSendTime,0.018310546875
2,8,0.6,chunkRoundTripTime,24
2,8,0.6,chunkProcessTime,765.0999999940395
2,8,0.6,frontendToBackendSendTime,22.183349609375
2,8,0.6,backendToFrontendSendTime,0.816650390625
2,8,0.6,chunkRoundTripTime,23
2,8,0.6,chunkProcessTime,755.2999999970198
2,8,0.6,frontendToBackendSendTime,23.770263671875
2,8,0.6,backendToFrontendSendTime,1.229736328125
2,8,0.6,chunkRoundTripTime,25
2,8,0.6,chunkProcessTime,1053.1000000089407
2,8,0.6,frontendToBackendSendTime,14.49609375
2,8,0.6,backendToFrontendSendTime,0.50390625
2,8,0.6,chunkRoundTripTime,15
2,8,0.6,chunkProcessTime,766.8999999910593
2,8,0.6,frontendToBackendSendTime,20.252197265625
2,8,0.6,backendToFrontendSendTime,0.747802734375
2,8,0.6,chunkRoundTripTime,21
2,8,0.6,chunkProcessTime,761
2,8,0.6,frontendToBackendSendTime,21.3701171875
2,8,0.6,backendToFrontendSendTime,0.6298828125
2,8,0.6,chunkRoundTripTime,22
2,8,0.6,chunkProcessTime,754.6000000089407
2,8,0.6,frontendToBackendSendTime,20.21337890625
2,8,0.6,backendToFrontendSendTime,0.78662109375
2,8,0.6,chunkRoundTripTime,21
2,8,0.6,chunkProcessTime,764.5999999940395
2,8,0.6,frontendToBackendSendTime,16.005859375
2,8,0.6,backendToFrontendSendTime,0.994140625
2,8,0.6,chunkRoundTripTime,17
2,8,0.6,chunkProcessTime,767.5999999940395
2,8,0.6,frontendToBackendSendTime,21.255859375
2,8,0.6,backendToFrontendSendTime,0.744140625
2,8,0.6,chunkRoundTripTime,22
2,8,0.6,chunkProcessTime,1625.4000000059605
2,8,0.6,frontendToBackendSendTime,28.047607421875
2,8,0.6,backendToFrontendSendTime,0.952392578125
2,8,0.6,chunkRoundTripTime,29
2,8,0.6,chunkProcessTime,860
2,8,0.6,frontendToBackendSendTime,17.06103515625
2,8,0.6,backendToFrontendSendTime,-0.06103515625
2,8,0.6,chunkRoundTripTime,17
2,8,0.6,chunkProcessTime,756.4000000059605
2,8,0.6,frontendToBackendSendTime,28.78173828125
2,8,0.6,backendToFrontendSendTime,0.21826171875
2,8,0.6,chunkRoundTripTime,29
2,8,0.6,chunkProcessTime,765.2000000029802
2,8,0.6,frontendToBackendSendTime,16.08544921875
2,8,0.6,backendToFrontendSendTime,0.91455078125
2,8,0.6,chunkRoundTripTime,17
2,8,0.6,chunkProcessTime,765.7000000029802
2,8,0.6,frontendToBackendSendTime,22.71923828125
2,8,0.6,backendToFrontendSendTime,1.28076171875
2,8,0.6,chunkRoundTripTime,24
2,8,0.6,chunkProcessTime,761.2000000029802
2,8,0.6,frontendToBackendSendTime,19.338134765625
2,8,0.6,backendToFrontendSendTime,1.661865234375
2,8,0.6,chunkRoundTripTime,21
2,8,0.6,chunkProcessTime,766.3999999910593
2,8,0.6,frontendToBackendSendTime,23.51025390625
2,8,0.6,backendToFrontendSendTime,1.48974609375
2,8,0.6,chunkRoundTripTime,25
2,8,0.6,chunkProcessTime,851.4000000059605
2,8,0.6,frontendToBackendSendTime,26.950927734375
2,8,0.6,backendToFrontendSendTime,1.049072265625
2,8,0.6,chunkRoundTripTime,28
2,8,0.6,chunkProcessTime,952.2999999970198
2,8,0.6,frontendToBackendSendTime,19.880615234375
2,8,0.6,backendToFrontendSendTime,1.119384765625
2,8,0.6,chunkRoundTripTime,21
2,8,0.6,chunkProcessTime,857.8999999910593
2,8,0.6,frontendToBackendSendTime,25.09423828125
2,8,0.6,backendToFrontendSendTime,0.90576171875
2,8,0.6,chunkRoundTripTime,26
2,8,0.6,chunkProcessTime,1238.5999999940395
2,8,0.6,frontendToBackendSendTime,17.010009765625
2,8,0.6,backendToFrontendSendTime,-0.010009765625
2,8,0.6,chunkRoundTripTime,17
2,8,0.6,chunkProcessTime,766.7000000029802
2,8,0.6,frontendToBackendSendTime,21.70263671875
2,8,0.6,backendToFrontendSendTime,1.29736328125
2,8,0.6,chunkRoundTripTime,23
2,8,0.6,chunkProcessTime,760.7999999970198
2,8,0.6,frontendToBackendSendTime,15.351806640625
2,8,0.6,backendToFrontendSendTime,0.648193359375
2,8,0.6,chunkRoundTripTime,16
2,8,0.6,chunkProcessTime,765.5
2,8,0.6,frontendToBackendSendTime,21.1494140625
2,8,0.6,backendToFrontendSendTime,0.8505859375
2,8,0.6,chunkRoundTripTime,22
2,8,0.6,chunkProcessTime,755.1000000089407
2,8,0.6,frontendToBackendSendTime,26.74853515625
2,8,0.6,backendToFrontendSendTime,0.25146484375
2,8,0.6,chunkRoundTripTime,27
2,8,0.6,chunkProcessTime,767
